;Concurso;bola_id;bola_num_sort
0;1;Bola1;2.0
1;1;Bola10;16.0
2;1;Bola11;18.0
3;1;Bola12;20.0
4;1;Bola13;23.0
5;1;Bola14;24.0
6;1;Bola15;25.0
7;1;Bola2;3.0
8;1;Bola3;5.0
9;1;Bola4;6.0
10;1;Bola5;9.0
11;1;Bola6;10.0
12;1;Bola7;11.0
13;1;Bola8;13.0
14;1;Bola9;14.0
15;2;Bola1;1.0
16;2;Bola10;15.0
17;2;Bola11;16.0
18;2;Bola12;19.0
19;2;Bola13;20.0
20;2;Bola14;23.0
21;2;Bola15;24.0
22;2;Bola2;4.0
23;2;Bola3;5.0
24;2;Bola4;6.0
25;2;Bola5;7.0
26;2;Bola6;9.0
27;2;Bola7;11.0
28;2;Bola8;12.0
29;2;Bola9;13.0
30;3;Bola1;1.0
31;3;Bola10;14.0
32;3;Bola11;16.0
33;3;Bola12;17.0
34;3;Bola13;20.0
35;3;Bola14;23.0
36;3;Bola15;24.0
37;3;Bola2;4.0
38;3;Bola3;6.0
39;3;Bola4;7.0
40;3;Bola5;8.0
41;3;Bola6;9.0
42;3;Bola7;10.0
43;3;Bola8;11.0
44;3;Bola9;12.0
45;4;Bola1;1.0
46;4;Bola10;17.0
47;4;Bola11;18.0
48;4;Bola12;19.0
49;4;Bola13;23.0
50;4;Bola14;24.0
51;4;Bola15;25.0
52;4;Bola2;2.0
53;4;Bola3;4.0
54;4;Bola4;5.0
55;4;Bola5;8.0
56;4;Bola6;10.0
57;4;Bola7;12.0
58;4;Bola8;13.0
59;4;Bola9;16.0
60;5;Bola1;1.0
61;5;Bola10;16.0
62;5;Bola11;19.0
63;5;Bola12;20.0
64;5;Bola13;23.0
65;5;Bola14;24.0
66;5;Bola15;25.0
67;5;Bola2;2.0
68;5;Bola3;4.0
69;5;Bola4;8.0
70;5;Bola5;9.0
71;5;Bola6;11.0
72;5;Bola7;12.0
73;5;Bola8;13.0
74;5;Bola9;15.0
75;6;Bola1;1.0
76;6;Bola10;16.0
77;6;Bola11;17.0
78;6;Bola12;19.0
79;6;Bola13;21.0
80;6;Bola14;23.0
81;6;Bola15;25.0
82;6;Bola2;2.0
83;6;Bola3;4.0
84;6;Bola4;5.0
85;6;Bola5;6.0
86;6;Bola6;7.0
87;6;Bola7;10.0
88;6;Bola8;12.0
89;6;Bola9;15.0
90;7;Bola1;1.0
91;7;Bola10;18.0
92;7;Bola11;19.0
93;7;Bola12;21.0
94;7;Bola13;22.0
95;7;Bola14;23.0
96;7;Bola15;25.0
97;7;Bola2;4.0
98;7;Bola3;7.0
99;7;Bola4;8.0
100;7;Bola5;10.0
101;7;Bola6;12.0
102;7;Bola7;14.0
103;7;Bola8;15.0
104;7;Bola9;16.0
105;8;Bola1;1.0
106;8;Bola10;17.0
107;8;Bola11;18.0
108;8;Bola12;19.0
109;8;Bola13;20.0
110;8;Bola14;22.0
111;8;Bola15;25.0
112;8;Bola2;5.0
113;8;Bola3;6.0
114;8;Bola4;8.0
115;8;Bola5;9.0
116;8;Bola6;10.0
117;8;Bola7;13.0
118;8;Bola8;15.0
119;8;Bola9;16.0
120;9;Bola1;3.0
121;9;Bola10;17.0
122;9;Bola11;19.0
123;9;Bola12;20.0
124;9;Bola13;21.0
125;9;Bola14;24.0
126;9;Bola15;25.0
127;9;Bola2;4.0
128;9;Bola3;5.0
129;9;Bola4;9.0
130;9;Bola5;10.0
131;9;Bola6;11.0
132;9;Bola7;13.0
133;9;Bola8;15.0
134;9;Bola9;16.0
135;10;Bola1;2.0
136;10;Bola10;12.0
137;10;Bola11;14.0
138;10;Bola12;19.0
139;10;Bola13;20.0
140;10;Bola14;23.0
141;10;Bola15;24.0
142;10;Bola2;3.0
143;10;Bola3;4.0
144;10;Bola4;5.0
145;10;Bola5;6.0
146;10;Bola6;8.0
147;10;Bola7;9.0
148;10;Bola8;10.0
149;10;Bola9;11.0
150;11;Bola1;2.0
151;11;Bola10;19.0
152;11;Bola11;20.0
153;11;Bola12;22.0
154;11;Bola13;23.0
155;11;Bola14;24.0
156;11;Bola15;25.0
157;11;Bola2;6.0
158;11;Bola3;7.0
159;11;Bola4;8.0
160;11;Bola5;9.0
161;11;Bola6;10.0
162;11;Bola7;11.0
163;11;Bola8;12.0
164;11;Bola9;16.0
165;12;Bola1;1.0
166;12;Bola10;12.0
167;12;Bola11;14.0
168;12;Bola12;16.0
